"Unidade";"Grupo Base";"Nome Grupo";"Fonte Recurso";"Recolhimento";"Data";"Situacao";"Guia";"Data Guia";"Valor";"Finalidade";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00699291/2010";"22/03/2010";"Recolhido";"00089/2010";"19/03/2010";"600,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00699283/2010";"22/03/2010";"Recolhido";"00090/2010";"19/03/2010";"4.183,50";"Cursos Comunitarios";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00698988/2010";"18/03/2010";"Recolhido";"00091/2010";"18/03/2010";"1.660,00";"Boletos Bancários ano 2010 data efetivação Mar 18 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Extensão sem Convênio Unidade";"00699232/2010";"22/03/2010";"Recolhido";"00092/2010";"22/03/2010";"1.140,00";"Consultoria Técnica p/ a Brudden Equipamentos Ref. aos meses de Dezembro/08 à Abril/09  - Parte EEFE/USP.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Aluguéis-Usp";"00732515/2010";"24/03/2010";"Recolhido";"00094/2010";"22/03/2010";"10.177,81";"43o. Pagamento (14.02.2010 a 14.03.2010) Pagamento de Aluguel p/ Exploração Comercial da Lanchonete/Restaurante";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00717915/2010";"23/03/2010";"Recolhido";"00095/2010";"22/03/2010";"1.920,00";"Curso de Especialização em Aprendizagem Motora - 4a. Edição - 2010.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00717893/2010";"23/03/2010";"Recolhido";"00096/2010";"22/03/2010";"300,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00717907/2010";"23/03/2010";"Recolhido";"00097/2010";"22/03/2010";"561,50";"Cursos Comunitarios";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Prestação de Serviços";"00717664/2010";"19/03/2010";"Recolhido";"00098/2010";"19/03/2010";"50,00";"Boletos Bancários ano 2010 data efetivação Mar 19 2010 fonte = Prestação de Serviços - Concurso Públ";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00732329/2010";"24/03/2010";"Recolhido";"00099/2010";"23/03/2010";"1.228,00";"Cursos Comunitarios";
